 

stn;time;gre000h0
TAE;2022111301;2
TAE;2022111302;1
TAE;2022111303;1
TAE;2022111304;1
TAE;2022111305;2
TAE;2022111306;2
TAE;2022111307;3
TAE;2022111308;15
TAE;2022111309;30
TAE;2022111310;43
TAE;2022111311;52
TAE;2022111312;53
TAE;2022111313;48
TAE;2022111314;39
TAE;2022111315;28
TAE;2022111316;7
TAE;2022111317;2
TAE;2022111318;1
TAE;2022111319;1
TAE;2022111320;1
TAE;2022111321;2
TAE;2022111322;2
TAE;2022111323;1
TAE;2022111400;2
TAE;2022111401;2
TAE;2022111402;2
TAE;2022111403;2
TAE;2022111404;1
TAE;2022111405;1
TAE;2022111406;1
TAE;2022111407;2
TAE;2022111408;8
TAE;2022111409;24
TAE;2022111410;72
TAE;2022111411;68
TAE;2022111412;101
TAE;2022111413;146
TAE;2022111414;129
TAE;2022111415;67
TAE;2022111416;15
TAE;2022111417;2
TAE;2022111418;3
TAE;2022111419;2
TAE;2022111420;2
TAE;2022111421;1
TAE;2022111422;2
TAE;2022111423;2
TAE;2022111500;2
TAE;2022111501;2
TAE;2022111502;1
TAE;2022111503;1
TAE;2022111504;1
TAE;2022111505;2
TAE;2022111506;2
TAE;2022111507;11
TAE;2022111508;78
TAE;2022111509;191
TAE;2022111510;237
TAE;2022111511;198
TAE;2022111512;169
TAE;2022111513;126
TAE;2022111514;95
TAE;2022111515;52
TAE;2022111516;12
TAE;2022111517;1
TAE;2022111518;2
TAE;2022111519;2
TAE;2022111520;2
TAE;2022111521;1
TAE;2022111522;1
TAE;2022111523;1
TAE;2022111600;2
TAE;2022111601;1
TAE;2022111602;1
TAE;2022111603;1
TAE;2022111604;1
TAE;2022111605;1
TAE;2022111606;1
TAE;2022111607;8
TAE;2022111608;66
TAE;2022111609;81
TAE;2022111610;199
TAE;2022111611;177
TAE;2022111612;415
TAE;2022111613;297
TAE;2022111614;194
TAE;2022111615;105
TAE;2022111616;12
TAE;2022111617;2
TAE;2022111618;2
TAE;2022111619;2
TAE;2022111620;2
TAE;2022111621;2
TAE;2022111622;1
TAE;2022111623;1
TAE;2022111700;1
TAE;2022111701;1
TAE;2022111702;1
TAE;2022111703;2
TAE;2022111704;1
TAE;2022111705;1
TAE;2022111706;1
TAE;2022111707;5
TAE;2022111708;29
TAE;2022111709;238
TAE;2022111710;164
TAE;2022111711;110
TAE;2022111712;162
TAE;2022111713;117
TAE;2022111714;77
TAE;2022111715;37
TAE;2022111716;6
TAE;2022111717;2
TAE;2022111718;2
TAE;2022111719;1
TAE;2022111720;2
TAE;2022111721;1
TAE;2022111722;1
TAE;2022111723;1
TAE;2022111800;1
TAE;2022111801;1
TAE;2022111802;1
TAE;2022111803;1
TAE;2022111804;1
TAE;2022111805;2
TAE;2022111806;1
TAE;2022111807;3
TAE;2022111808;30
TAE;2022111809;106
TAE;2022111810;145
TAE;2022111811;213
TAE;2022111812;131
TAE;2022111813;168
TAE;2022111814;123
TAE;2022111815;23
TAE;2022111816;10
TAE;2022111817;2
TAE;2022111818;1
TAE;2022111819;2
TAE;2022111820;1
TAE;2022111821;1
TAE;2022111822;2
TAE;2022111823;2
TAE;2022111900;1
TAE;2022111901;1
TAE;2022111902;1
TAE;2022111903;1
TAE;2022111904;2
TAE;2022111905;2
TAE;2022111906;2
TAE;2022111907;8
TAE;2022111908;40
TAE;2022111909;230
TAE;2022111910;288
TAE;2022111911;367
TAE;2022111912;211
TAE;2022111913;197
TAE;2022111914;107
TAE;2022111915;66
TAE;2022111916;8
TAE;2022111917;2
TAE;2022111918;1
TAE;2022111919;1
TAE;2022111920;2
TAE;2022111921;2
TAE;2022111922;2
TAE;2022111923;2
TAE;2022112000;1
TAE;2022112001;1
TAE;2022112002;1
TAE;2022112003;1
TAE;2022112004;2
TAE;2022112005;2
TAE;2022112006;2
TAE;2022112007;3
TAE;2022112008;35
TAE;2022112009;177
TAE;2022112010;289
TAE;2022112011;253
TAE;2022112012;192
TAE;2022112013;286
TAE;2022112014;143
TAE;2022112015;112
TAE;2022112016;15
TAE;2022112017;2
TAE;2022112018;1
TAE;2022112019;1
TAE;2022112020;2
TAE;2022112021;2
TAE;2022112022;1
TAE;2022112023;1
TAE;2022112100;1
TAE;2022112101;1
TAE;2022112102;1
TAE;2022112103;1
TAE;2022112104;2
TAE;2022112105;1
TAE;2022112106;1
TAE;2022112107;2
TAE;2022112108;26
TAE;2022112109;160
TAE;2022112110;207
TAE;2022112111;332
TAE;2022112112;337
TAE;2022112113;241
TAE;2022112114;152
TAE;2022112115;73
TAE;2022112116;15
TAE;2022112117;2
TAE;2022112118;1
TAE;2022112119;1
TAE;2022112120;2
TAE;2022112121;1
TAE;2022112122;2
TAE;2022112123;2
TAE;2022112200;1
TAE;2022112201;1
TAE;2022112202;1
TAE;2022112203;1
TAE;2022112204;1
TAE;2022112205;1
TAE;2022112206;2
TAE;2022112207;2
TAE;2022112208;21
TAE;2022112209;38
TAE;2022112210;75
TAE;2022112211;115
TAE;2022112212;153
TAE;2022112213;181
TAE;2022112214;96
TAE;2022112215;56
TAE;2022112216;12
TAE;2022112217;1
TAE;2022112218;1
TAE;2022112219;1
TAE;2022112220;2
TAE;2022112221;1
TAE;2022112222;1
TAE;2022112223;1
TAE;2022112300;2
TAE;2022112301;2
TAE;2022112302;2
TAE;2022112303;2
TAE;2022112304;2
TAE;2022112305;1
TAE;2022112306;1
TAE;2022112307;3
TAE;2022112308;19
TAE;2022112309;183
TAE;2022112310;304
TAE;2022112311;358
TAE;2022112312;359
TAE;2022112313;319
TAE;2022112314;185
TAE;2022112315;50
TAE;2022112316;9
TAE;2022112317;3
TAE;2022112318;1
TAE;2022112319;1
TAE;2022112320;1
TAE;2022112321;1
TAE;2022112322;2
TAE;2022112323;1
TAE;2022112400;1
TAE;2022112401;1
TAE;2022112402;1
TAE;2022112403;1
TAE;2022112404;1
TAE;2022112405;1
TAE;2022112406;1
TAE;2022112407;3
TAE;2022112408;45
TAE;2022112409;61
TAE;2022112410;71
TAE;2022112411;152
TAE;2022112412;105
TAE;2022112413;161
TAE;2022112414;116
TAE;2022112415;64
TAE;2022112416;9
TAE;2022112417;3
TAE;2022112418;2
TAE;2022112419;1
TAE;2022112420;2
TAE;2022112421;1
TAE;2022112422;1
TAE;2022112423;1
TAE;2022112500;1
TAE;2022112501;1
TAE;2022112502;1
TAE;2022112503;1
TAE;2022112504;2
TAE;2022112505;1
TAE;2022112506;1
TAE;2022112507;3
TAE;2022112508;25
TAE;2022112509;76
TAE;2022112510;152
TAE;2022112511;157
TAE;2022112512;133
TAE;2022112513;117
TAE;2022112514;60
TAE;2022112515;42
TAE;2022112516;7
TAE;2022112517;2
TAE;2022112518;1
TAE;2022112519;1
TAE;2022112520;1
TAE;2022112521;2
TAE;2022112522;2
TAE;2022112523;2
TAE;2022112600;1
TAE;2022112601;1
TAE;2022112602;2
TAE;2022112603;2
TAE;2022112604;1
TAE;2022112605;2
TAE;2022112606;2
TAE;2022112607;4
TAE;2022112608;41
TAE;2022112609;98
TAE;2022112610;176
TAE;2022112611;226
TAE;2022112612;315
TAE;2022112613;235
TAE;2022112614;148
TAE;2022112615;86
TAE;2022112616;15
TAE;2022112617;1
TAE;2022112618;1
TAE;2022112619;1
TAE;2022112620;1
TAE;2022112621;1
TAE;2022112622;1
TAE;2022112623;1
TAE;2022112700;1
TAE;2022112701;1
TAE;2022112702;1
TAE;2022112703;1
TAE;2022112704;1
TAE;2022112705;1
TAE;2022112706;1
TAE;2022112707;3
TAE;2022112708;60
TAE;2022112709;157
TAE;2022112710;209
TAE;2022112711;298
TAE;2022112712;228
