Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
MMDAS     Därstetten                           gre000h0         DTN Schweiz AG                                     7°30'/46°39'             604225/167400    755
NABDUE    Dübendorf                            gre000h0         Bundesamt für Umwelt                               8°37'/47°24'             688690/250880    432
DLDUE     Düsseldorf                           gre000h0         Deutscher Wetterdienst                             6°46'/51°18'             553130/683869    37
INNEBI    Ebikon                               gre000h0         inNET Monitoring AG                                8°18'/47°04'             665478/213381    484
EBK       Ebnat-Kappel                         gre000h0         MeteoSchweiz                                       9°07'/47°16'             726347/237176    623
VSEGG     Eggerberg                            gre000h0         Kanton Wallis; Dienststelle für Umweltschutz       7°53'/46°18'             634047/128450    844
TGEGN     Egnach                               gre000h0         Kanton Thurgau                                     9°23'/47°32'             746450/266570    415
EGO       Egolzwil                             gre000h0         MeteoSchweiz                                       8°00'/47°11'             642912/225540    521
EIN       Einsiedeln                           gre000h0         MeteoSchweiz                                       8°45'/47°08'             699982/221068    910
ELM       Elm                                  gre000h0         MeteoSchweiz                                       9°11'/46°55'             732265/198424    957
DLERF     Erfurt / Bindersleben                gre000h0         Deutscher Wetterdienst                             10°58'/50°59'            847911/654307    316
TGERM     Ermatingen                           gre000h0         Kanton Thurgau                                     9°05'/47°40'             723562/280980    415
INNESF    Erstfeld                             gre000h0         inNET Monitoring AG                                8°38'/46°50'             691390/188470    460
EVI       Evionnaz                             gre000h0         MeteoSchweiz                                       7°02'/46°11'             568197/114693    482
FAH       Fahy                                 gre000h0         MeteoSchweiz                                       6°56'/47°25'             562464/252675    596
DLFRA     Frankfurt / Main Flughafen           gre000h0         Deutscher Wetterdienst                             8°31'/50°02'             677700/542622    100
MMFRS     Frasco                               gre000h0         DTN Schweiz AG                                     8°48'/46°20'             705000/133077    901
TGFRA     Frauenfeld                           gre000h0         Kanton Thurgau                                     8°54'/47°34'             709512/270190    391
DLFRB     Freiburg                             gre000h0         Deutscher Wetterdienst                             7°50'/48°01'             629531/319289    236
DLFRS     Freudenstadt                         gre000h0         Deutscher Wetterdienst                             8°25'/48°27'             671807/367535    797
GRA       Fribourg / Grangeneuve               gre000h0         MeteoSchweiz                                       7°07'/46°46'             575183/180076    650
FRU       Frutigen                             gre000h0         MeteoSchweiz                                       7°39'/46°36'             616773/160884    756
DLFUR     Fürstenzell                          gre000h0         Deutscher Wetterdienst                             13°21'/48°33'            -/-              476
IYGAR     Gargazon                             gre000h0         Autonome Provinz Bozen - Südtirol                  11°12'/46°35'            888284/165295    254
DLGAR     Garmisch-Partenkirchen               gre000h0         Deutscher Wetterdienst                             11°04'/47°29'            873023/265449    719
GVE       Genève / Cointrin                    gre000h0         MeteoSchweiz                                       6°08'/46°15'             498904/122631    410
GIH       Giswil                               gre000h0         MeteoSchweiz                                       8°11'/46°51'             657323/188976    471
GLA       Glarus                               gre000h0         MeteoSchweiz                                       9°04'/47°02'             723755/210567    516
KAGOD     Goldau / Tierpark                    gre000h0         Kachelmannwetter GmbH                              8°33'/47°03'             685022/211614    545
GRE       Grenchen                             gre000h0         MeteoSchweiz                                       7°25'/47°11'             598218/225349    427
GRO       Grono                                gre000h0         MeteoSchweiz                                       9°10'/46°15'             733016/124090    323
GRGRO     Grono                                gre000h0         Kanton Graubünden                                  9°09'/46°15'             731839/123215    333
GOE       Gösgen                               gre000h0         MeteoSchweiz                                       7°58'/47°22'             640421/245949    380
GUT       Güttingen                            gre000h0         MeteoSchweiz                                       9°17'/47°36'             738421/273962    440
