 

stn;time;sre000h0
TAE;2022111301;0
TAE;2022111302;0
TAE;2022111303;0
TAE;2022111304;0
TAE;2022111305;0
TAE;2022111306;0
TAE;2022111307;0
TAE;2022111308;0
TAE;2022111309;0
TAE;2022111310;0
TAE;2022111311;0
TAE;2022111312;0
TAE;2022111313;0
TAE;2022111314;0
TAE;2022111315;0
TAE;2022111316;0
TAE;2022111317;0
TAE;2022111318;0
TAE;2022111319;0
TAE;2022111320;0
TAE;2022111321;0
TAE;2022111322;0
TAE;2022111323;0
TAE;2022111400;0
TAE;2022111401;0
TAE;2022111402;0
TAE;2022111403;0
TAE;2022111404;0
TAE;2022111405;0
TAE;2022111406;0
TAE;2022111407;0
TAE;2022111408;0
TAE;2022111409;0
TAE;2022111410;0
TAE;2022111411;0
TAE;2022111412;0
TAE;2022111413;0
TAE;2022111414;1
TAE;2022111415;0
TAE;2022111416;0
TAE;2022111417;0
TAE;2022111418;0
TAE;2022111419;0
TAE;2022111420;0
TAE;2022111421;0
TAE;2022111422;0
TAE;2022111423;0
TAE;2022111500;0
TAE;2022111501;0
TAE;2022111502;0
TAE;2022111503;0
TAE;2022111504;0
TAE;2022111505;0
TAE;2022111506;0
TAE;2022111507;0
TAE;2022111508;2
TAE;2022111509;28
TAE;2022111510;14
TAE;2022111511;0
TAE;2022111512;0
TAE;2022111513;0
TAE;2022111514;0
TAE;2022111515;0
TAE;2022111516;0
TAE;2022111517;0
TAE;2022111518;0
TAE;2022111519;0
TAE;2022111520;0
TAE;2022111521;0
TAE;2022111522;0
TAE;2022111523;0
TAE;2022111600;0
TAE;2022111601;0
TAE;2022111602;0
TAE;2022111603;0
TAE;2022111604;0
TAE;2022111605;0
TAE;2022111606;0
TAE;2022111607;0
TAE;2022111608;0
TAE;2022111609;9
TAE;2022111610;24
TAE;2022111611;4
TAE;2022111612;60
TAE;2022111613;47
TAE;2022111614;49
TAE;2022111615;47
TAE;2022111616;0
TAE;2022111617;0
TAE;2022111618;0
TAE;2022111619;0
TAE;2022111620;0
TAE;2022111621;0
TAE;2022111622;0
TAE;2022111623;0
TAE;2022111700;0
TAE;2022111701;0
TAE;2022111702;0
TAE;2022111703;0
TAE;2022111704;0
TAE;2022111705;0
TAE;2022111706;0
TAE;2022111707;0
TAE;2022111708;11
TAE;2022111709;57
TAE;2022111710;20
TAE;2022111711;0
TAE;2022111712;7
TAE;2022111713;0
TAE;2022111714;4
TAE;2022111715;0
TAE;2022111716;0
TAE;2022111717;0
TAE;2022111718;0
TAE;2022111719;0
TAE;2022111720;0
TAE;2022111721;0
TAE;2022111722;0
TAE;2022111723;0
TAE;2022111800;0
TAE;2022111801;0
TAE;2022111802;0
TAE;2022111803;0
TAE;2022111804;0
TAE;2022111805;0
TAE;2022111806;0
TAE;2022111807;0
TAE;2022111808;0
TAE;2022111809;0
TAE;2022111810;2
TAE;2022111811;5
TAE;2022111812;0
TAE;2022111813;5
TAE;2022111814;18
TAE;2022111815;0
TAE;2022111816;0
TAE;2022111817;0
TAE;2022111818;0
TAE;2022111819;0
TAE;2022111820;0
TAE;2022111821;0
TAE;2022111822;0
TAE;2022111823;0
TAE;2022111900;0
TAE;2022111901;0
TAE;2022111902;0
TAE;2022111903;0
TAE;2022111904;0
TAE;2022111905;0
TAE;2022111906;0
TAE;2022111907;0
TAE;2022111908;1
TAE;2022111909;52
TAE;2022111910;47
TAE;2022111911;37
TAE;2022111912;19
TAE;2022111913;17
TAE;2022111914;2
TAE;2022111915;14
TAE;2022111916;0
TAE;2022111917;0
TAE;2022111918;0
TAE;2022111919;0
TAE;2022111920;0
TAE;2022111921;0
TAE;2022111922;0
TAE;2022111923;0
TAE;2022112000;0
TAE;2022112001;0
TAE;2022112002;0
TAE;2022112003;0
TAE;2022112004;0
TAE;2022112005;0
TAE;2022112006;0
TAE;2022112007;0
TAE;2022112008;1
TAE;2022112009;35
TAE;2022112010;40
TAE;2022112011;20
TAE;2022112012;3
TAE;2022112013;24
TAE;2022112014;11
TAE;2022112015;39
TAE;2022112016;0
TAE;2022112017;0
TAE;2022112018;0
TAE;2022112019;0
TAE;2022112020;0
TAE;2022112021;0
TAE;2022112022;0
TAE;2022112023;0
TAE;2022112100;0
TAE;2022112101;0
TAE;2022112102;0
TAE;2022112103;0
TAE;2022112104;0
TAE;2022112105;0
TAE;2022112106;0
TAE;2022112107;0
TAE;2022112108;0
TAE;2022112109;31
TAE;2022112110;35
TAE;2022112111;59
TAE;2022112112;56
TAE;2022112113;54
TAE;2022112114;26
TAE;2022112115;4
TAE;2022112116;0
TAE;2022112117;0
TAE;2022112118;0
TAE;2022112119;0
TAE;2022112120;0
TAE;2022112121;0
TAE;2022112122;0
TAE;2022112123;0
TAE;2022112200;0
TAE;2022112201;0
TAE;2022112202;0
TAE;2022112203;0
TAE;2022112204;0
TAE;2022112205;0
TAE;2022112206;0
TAE;2022112207;0
TAE;2022112208;0
TAE;2022112209;0
TAE;2022112210;0
TAE;2022112211;0
TAE;2022112212;0
TAE;2022112213;0
TAE;2022112214;0
TAE;2022112215;0
TAE;2022112216;0
TAE;2022112217;0
TAE;2022112218;0
TAE;2022112219;0
TAE;2022112220;0
TAE;2022112221;0
TAE;2022112222;0
TAE;2022112223;0
TAE;2022112300;0
TAE;2022112301;0
TAE;2022112302;0
TAE;2022112303;0
TAE;2022112304;0
TAE;2022112305;0
TAE;2022112306;0
TAE;2022112307;0
TAE;2022112308;4
TAE;2022112309;60
TAE;2022112310;60
TAE;2022112311;60
TAE;2022112312;60
TAE;2022112313;60
TAE;2022112314;37
TAE;2022112315;0
TAE;2022112316;0
TAE;2022112317;0
TAE;2022112318;0
TAE;2022112319;0
TAE;2022112320;0
TAE;2022112321;0
TAE;2022112322;0
TAE;2022112323;0
TAE;2022112400;0
TAE;2022112401;0
TAE;2022112402;0
TAE;2022112403;0
TAE;2022112404;0
TAE;2022112405;0
TAE;2022112406;0
TAE;2022112407;0
TAE;2022112408;0
TAE;2022112409;0
TAE;2022112410;0
TAE;2022112411;20
TAE;2022112412;0
TAE;2022112413;27
TAE;2022112414;36
TAE;2022112415;28
TAE;2022112416;0
TAE;2022112417;0
TAE;2022112418;0
TAE;2022112419;0
TAE;2022112420;0
TAE;2022112421;0
TAE;2022112422;0
TAE;2022112423;0
TAE;2022112500;0
TAE;2022112501;0
TAE;2022112502;0
TAE;2022112503;0
TAE;2022112504;0
TAE;2022112505;0
TAE;2022112506;0
TAE;2022112507;0
TAE;2022112508;0
TAE;2022112509;0
TAE;2022112510;0
TAE;2022112511;0
TAE;2022112512;0
TAE;2022112513;0
TAE;2022112514;0
TAE;2022112515;0
TAE;2022112516;0
TAE;2022112517;0
TAE;2022112518;0
TAE;2022112519;0
TAE;2022112520;0
TAE;2022112521;0
TAE;2022112522;0
TAE;2022112523;0
TAE;2022112600;0
TAE;2022112601;0
TAE;2022112602;0
TAE;2022112603;0
TAE;2022112604;0
TAE;2022112605;0
TAE;2022112606;0
TAE;2022112607;0
TAE;2022112608;0
TAE;2022112609;14
TAE;2022112610;0
TAE;2022112611;35
TAE;2022112612;56
TAE;2022112613;39
TAE;2022112614;33
TAE;2022112615;44
TAE;2022112616;0
TAE;2022112617;0
TAE;2022112618;0
TAE;2022112619;0
TAE;2022112620;0
TAE;2022112621;0
TAE;2022112622;0
TAE;2022112623;0
TAE;2022112700;0
TAE;2022112701;0
