Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
BOGECA    Genève Aiges-Verte                   rre150h0         Bundesamt für Strassen                             6°04'/46°12'             494752/117866    382
BOGEAE    Genève Aéroport Echo                 rre150h0         Flughafen Genf                                     6°07'/46°14'             497434/121623    422
BOGEAY    Genève Aéroport Yankee               rre150h0         Flughafen Genf                                     6°06'/46°14'             496771/121000    422
ZHGER     Geroldswil / Limmatbrücke            rre150h0         Bundesamt für Strassen                             8°24'/47°25'             672718/252749    394
GES       Gersau                               rre150h0         MeteoSchweiz                                       8°31'/46°60'             682509/205571    521
ZELUGE    Gettnau                              rre150h0         Kanton Luzern; zentras                             7°57'/47°08'             639385/220778    554
ZHGIB     Gibswil                              rre150h0         Kanton Zürich; Tiefbauamt                          8°55'/47°18'             711544/240635    762
ZELUGI    Gisikon                              rre150h0         Kanton Luzern; zentras                             8°24'/47°08'             672600/220341    405
GIH       Giswil                               rre150h0         MeteoSchweiz                                       8°11'/46°51'             657323/188976    471
ZEOWGN    Giswil Nord                          rre150h0         Bundesamt für Strassen                             8°12'/46°51'             658020/188235    473
GLA       Glarus                               rre150h0         MeteoSchweiz                                       9°04'/47°02'             723755/210567    516
GLGLA     Glarus                               rre150h0         Gebäudeversicherung glarnerSach                    9°04'/47°03'             723586/211665    500
ZHGLF     Glattfelden / Glattbrücke            rre150h0         Kanton Zürich; Tiefbauamt                          8°29'/47°34'             678499/269050    375
TIGNO     Gnosca                               rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 9°01'/46°14'             721940/121960    247
ZHGOS     Gossau, ZH                           rre150h0         Kanton Zürich; Tiefbauamt                          8°46'/47°18'             700695/240509    465
DLGOT     Gottfrieding                         rre150h0         Deutscher Wetterdienst                             12°32'/48°40'            -/-              350
DLGTT     Gottmadingen                         rre150h0         Deutscher Wetterdienst                             8°48'/47°44'             701610/287967    438
VDGOU     Goumoëns                             rre150h0         Canton de Vaud                                     6°36'/46°40'             535460/168530    614
TIGRA     Grancia                              rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°55'/45°59'             715196/92724     310
BOVDGR    Grandsonnet                          rre150h0         Bundesamt für Strassen                             6°38'/46°48'             538311/184381    482
GRE       Grenchen                             rre150h0         MeteoSchweiz                                       7°25'/47°11'             598218/225349    427
ZGGRE     Greppen                              rre150h0         Gewässerschutzverband der Region Zugersee-Küssnachtersee-Ägerisee 8°26'/47°04'             675282/212747    435
GRO       Grono                                rre150h0         MeteoSchweiz                                       9°10'/46°15'             733016/124090    323
ZEOWSB    Grosse Schlierbachbrücke             rre150h0         Bundesamt für Strassen                             8°17'/46°56'             663809/197893    465
ZELUGB    Grosshofbrücke                       rre150h0         Bundesamt für Strassen                             8°18'/47°02'             665110/209975    465
ZHGRU     Grüningen / Tägernauer Holz          rre150h0         Kanton Zürich; Tiefbauamt                          8°45'/47°17'             699405/238437    461
GOS       Göschenen                            rre150h0         MeteoSchweiz                                       8°36'/46°42'             688477/171926    950
GOE       Gösgen                               rre150h0         MeteoSchweiz                                       7°58'/47°22'             640421/245949    380
GUT       Güttingen                            rre150h0         MeteoSchweiz                                       9°17'/47°36'             738421/273962    440
HLL       Hallau                               rre150h0         MeteoSchweiz                                       8°28'/47°42'             677456/283471    419
ZELUHA    Haltiwald N2                         rre150h0         Bundesamt für Strassen                             8°19'/46°60'             666360/205789    441
DLHAM     Hamburg / Fuhlsbüttel                rre150h0         Deutscher Wetterdienst                             9°59'/53°38'             769902/947723    11
DLHAN     Hannover                             rre150h0         Deutscher Wetterdienst                             9°41'/52°28'             752948/816341    55
DLHAR     Harburg                              rre150h0         Deutscher Wetterdienst                             10°42'/48°48'            -/-              501
DLHEC     Hechingen                            rre150h0         Deutscher Wetterdienst                             8°59'/48°23'             714226/359470    522
ZHHEN     Henggart                             rre150h0         Bundesamt für Strassen                             8°41'/47°33'             693979/267766    438
ZELUHW    Hergiswil                            rre150h0         Kanton Luzern; zentras                             7°58'/47°05'             639708/215653    636
ZELUHE    Herlisberg                           rre150h0         Kanton Luzern; zentras                             8°14'/47°12'             659609/228186    774
DLHEM     Hermaringen                          rre150h0         Deutscher Wetterdienst                             10°16'/48°37'            808705/388196    468
DLHER     Herrenberg                           rre150h0         Deutscher Wetterdienst                             8°51'/48°36'             704472/383394    430
ZHHER     Herschmettlen / Sennwald             rre150h0         Kanton Zürich; Tiefbauamt                          8°48'/47°17'             703516/238108    535
ZELUHR    Hildisrieden                         rre150h0         Kanton Luzern; zentras                             8°13'/47°09'             659434/223061    711
SOHIM     Himmelried                           rre150h0         Kanton Solothurn                                   7°36'/47°25'             611905/252070    645
HIW       Hinwil                               rre150h0         MeteoSchweiz                                       8°49'/47°19'             703874/240717    539
ZHHIW     Hinwil                               rre150h0         Bundesamt für Strassen                             8°50'/47°18'             705519/239728    552
MMHIW     Hinwil                               rre150h0         DTN Schweiz AG                                     8°50'/47°18'             705592/240470    569
LUHOC     Hochdorf                             rre150h0         Kanton Luzern                                      8°17'/47°11'             663850/225520    471
ZHHOF     Hofstetten / Schümberg               rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°52'/47°28'             707240/258315    737
DLHOH     Hohenpeissenberg                     rre150h0         Deutscher Wetterdienst                             11°01'/47°48'            867541/300581    977
DLHOL     Holzkirchen                          rre150h0         Deutscher Wetterdienst                             11°42'/47°53'            918323/312190    685
ZHHRG     Horgen / Horgener Höhe               rre150h0         Bundesamt für Strassen                             8°34'/47°16'             685934/235582    587
BOSOHU    Hunnenberg                           rre150h0         Bundesamt für Strassen                             7°31'/47°12'             606260/227130    430
HUT       Huttwil                              rre150h0         MeteoSchweiz                                       7°50'/47°07'             630261/218189    633
ZELUHB    Hämikon Berg                         rre150h0         Kanton Luzern; zentras                             8°18'/47°15'             665229/232749    823
NABHAE    Härkingen                            rre150h0         Bundesamt für Umwelt                               7°49'/47°19'             628865/240180    430
WSLHOB    Hölstein Bestand                     rre150h0         Eidg. Forschungsanstalt WSL                        7°47'/47°26'             625700/254400    530
DLIHR     Ihringen                             rre150h0         Deutscher Wetterdienst                             7°38'/48°03'             614420/321300    193
ILZ       Ilanz                                rre150h0         MeteoSchweiz                                       9°13'/46°47'             735685/181965    698
BOVSIF    Ile Falcon                           rre150h0         Bundesamt für Strassen                             7°33'/46°17'             608940/126079    544
TGILL     Illighausen                          rre150h0         Kanton Thurgau                                     9°13'/47°36'             733082/274158    565
DLIMR     Immenstadt / Reute                   rre150h0         Deutscher Wetterdienst                             10°12'/47°36'            807749/276672    960
INN       Innerthal                            rre150h0         MeteoSchweiz                                       8°55'/47°06'             712079/218326    903
BEINS     Ins                                  rre150h0         Kanton Bern                                        7°07'/46°60'             574900/205308    450
INT       Interlaken                           rre150h0         MeteoSchweiz                                       7°52'/46°40'             633023/169092    577
MMIBG     Isole di Brissago                    rre150h0         DTN Schweiz AG                                     8°44'/46°08'             700293/109852    200
TIISO     Isone                                rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°60'/46°08'             720180/110320    810
IYJEN     Jenesien                             rre150h0         Autonome Provinz Bozen - Südtirol                  11°20'/46°32'            898577/160645    973
JON       Jona                                 rre150h0         MeteoSchweiz                                       8°51'/47°13'             706760/231290    410
GEFOR     Jussy / Maison de la foret           rre150h0         République et canton de Genève                     6°18'/46°14'             511681/120651    500
WSLJUF    Jussy Freiland                       rre150h0         Eidg. Forschungsanstalt WSL                        6°18'/46°14'             511632/120631    500
DLKAI     Kaisersbach / Cronhütte              rre150h0         Deutscher Wetterdienst                             9°41'/48°55'             -/-              488
KAI       Kaiserstuhl, AG                      rre150h0         MeteoSchweiz                                       8°25'/47°34'             673334/269333    361
AGKST     Kaisten                              rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°02'/47°33'             644789/266832    301
IYKAL     Kaltern / Oberplanitzing             rre150h0         Autonome Provinz Bozen - Südtirol                  11°15'/46°27'            892969/150564    492
DLKAU     Kaufbeuren                           rre150h0         Deutscher Wetterdienst                             10°35'/47°53'            835324/307567    815
DLKEH     Kehl                                 rre150h0         Deutscher Wetterdienst                             7°53'/48°33'             632613/378739    141
DLKEM     Kempten                              rre150h0         Deutscher Wetterdienst                             10°20'/47°43'            817254/289861    705
ZHKPT     Kemptthal / Hammermühlebrücke        rre150h0         Bundesamt für Strassen                             8°42'/47°27'             695579/256795    460
ZHEFF     Kemptthal / Rampe Illnau             rre150h0         Bundesamt für Strassen                             8°42'/47°27'             694669/255423    523
DLKIF     Kiefersfelden                        rre150h0         Deutscher Wetterdienst                             12°10'/47°37'            955231/284918    518
KIE       Kiental                              rre150h0         Kanton Bern                                        7°44'/46°35'             622110/159075    930
KIS       Kiesen                               rre150h0         MeteoSchweiz                                       7°34'/46°49'             610256/185527    535
MMKSB     Kirchberg / Schallenberg             rre150h0         DTN Schweiz AG                                     9°01'/47°25'             719455/252803    768
ZHAFI     Kleinandelfingen / Thurbrücke        rre150h0         Bundesamt für Strassen                             8°41'/47°36'             694133/272556    392
DLKLE     Kleiner Feldberg, Taunus             rre150h0         Deutscher Wetterdienst                             8°27'/50°13'             -/-              825
DLKLI     Klippeneck                           rre150h0         Deutscher Wetterdienst                             8°45'/48°06'             698043/329166    973
ZELUKH    Knutwilerhöhe                        rre150h0         Bundesamt für Strassen                             8°05'/47°11'             648422/226640    533
DLKON     Konstanz                             rre150h0         Deutscher Wetterdienst                             9°11'/47°41'             731514/282221    443
KOP       Koppigen                             rre150h0         MeteoSchweiz                                       7°36'/47°07'             612662/218664    485
ZELUKW    Kottwil                              rre150h0         Kanton Luzern; zentras                             8°03'/47°10'             646556/224189    506
DLKRA     Kraftisried                          rre150h0         Deutscher Wetterdienst                             10°28'/47°46'            826482/295122    831
BEKRA     Krauchthal / Dieterswald             rre150h0         Kanton Bern                                        7°35'/47°01'             611299/206530    737
BEKRL     Krauchthal / Lindenfeld              rre150h0         Kanton Bern                                        7°33'/46°60'             609041/205426    572
TGKRE     Kreuzlingen                          rre150h0         Kanton Thurgau                                     9°11'/47°39'             731538/278849    400
BOTGKS    Kreuzlingen Süd                      rre150h0         Bundesamt für Strassen                             9°09'/47°38'             728120/276860    539
BOSGKR    Kriessern                            rre150h0         Kanton St. Gallen; Baudepartement                  9°37'/47°22'             764548/248600    415
DLKOE     Köln / Bonn                          rre150h0         Deutscher Wetterdienst                             7°09'/50°52'             580162/635586    92
BOGRKU    Küblis                               rre150h0         Bundesamt für Strassen                             9°45'/46°55'             776615/198780    785
KUE       Küsnacht, ZH                         rre150h0         MeteoSchweiz                                       8°35'/47°19'             686703/240572    413
VDPEU     La Peufaire                          rre150h0         Canton de Vaud                                     7°04'/46°16'             570825/123950    730
IYLAA     Laas / Eyrs                          rre150h0         Autonome Provinz Bozen - Südtirol                  10°39'/46°37'            845853/168770    874
ZHLAC     Lachen                               rre150h0         Bundesamt für Strassen                             8°52'/47°11'             707733/227115    417
LAC       Lachen / Galgenen                    rre150h0         MeteoSchweiz                                       8°52'/47°11'             707637/226334    468
GELCX     Laconnex                             rre150h0         République et canton de Genève                     6°02'/46°09'             491423/112660    431
DLLAH     Lahr                                 rre150h0         Deutscher Wetterdienst                             7°50'/48°22'             628863/357259    155
IYLAI     Laimburg                             rre150h0         Autonome Provinz Bozen - Südtirol                  11°17'/46°23'            896074/144060    224
GEBAC     Lancy / Bachet-De-Pesay              rre150h0         République et canton de Genève                     6°08'/46°10'             499137/114219    403
GELAN     Landecy                              rre150h0         République et canton de Genève                     6°08'/46°09'             499084/110931    488
BOGRLA    Landquart                            rre150h0         Bundesamt für Strassen                             9°33'/46°58'             760818/204460    521
DLLAN     Landshut / Reithof                   rre150h0         Deutscher Wetterdienst                             12°15'/48°34'            955521/391333    490
LAB       Langenbruck                          rre150h0         MeteoSchweiz                                       7°46'/47°21'             624250/244720    731
MMLBB     Langenthal / Bleienbach              rre150h0         DTN Schweiz AG                                     7°45'/47°11'             622981/225759    480
LULAN     Langnau                              rre150h0         Kanton Luzern                                      7°58'/47°14'             640360/231200    471
LGA       Langnau am Albis                     rre150h0         MeteoSchweiz                                       8°32'/47°17'             682763/238014    535
LAG       Langnau i.E.                         rre150h0         MeteoSchweiz                                       7°48'/46°56'             628003/198793    743
TGLAN     Lanzenneunforn                       rre150h0         Kanton Thurgau                                     8°56'/47°37'             712467/275918    575
MMLAF     Laufen / Dittingen                   rre150h0         DTN Schweiz AG                                     7°29'/47°26'             603951/254168    536
LAP       Laupen                               rre150h0         MeteoSchweiz                                       7°14'/46°55'             584905/196204    483
LSN       Lausanne                             rre150h0         MeteoSchweiz                                       6°39'/46°32'             538976/153256    601
NABLAU    Lausanne                             rre150h0         Bundesamt für Umwelt                               6°38'/46°31'             538690/152624    538
WSLLAF    Lausanne Freiland                    rre150h0         Eidg. Forschungsanstalt WSL                        6°39'/46°34'             539386/156701    794
LTB       Lauterbrunnen                        rre150h0         MeteoSchweiz                                       7°54'/46°36'             635851/160291    815
KALTB     Lauterbrunnen                        rre150h0         Kachelmannwetter GmbH                              7°55'/46°35'             636368/159991    797
DLLAU     Lautertal, Oberlauter                rre150h0         Deutscher Wetterdienst                             10°58'/50°18'            -/-              344
TILAV     Lavertezzo                           rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°50'/46°16'             707125/124615    635
VDLMT     Le Mont-sur-Lausanne                 rre150h0         Canton de Vaud                                     6°39'/46°33'             539440/156010    750
MMNOI     Le Noirmont                          rre150h0         DTN Schweiz AG                                     6°57'/47°14'             563465/230613    974
VDSEP     Le Sépey                             rre150h0         Canton de Vaud                                     7°03'/46°22'             570520/134420    1000
ZELULE    Lehn                                 rre150h0         Kanton Luzern; zentras                             7°59'/46°56'             641325/198075    762
LEI       Leibstadt                            rre150h0         MeteoSchweiz                                       8°11'/47°36'             656373/272121    341
DLLEI     Leipzig / Schkeuditz                 rre150h0         Deutscher Wetterdienst                             12°14'/51°26'            934738/709406    131
BOSOLE    Lengnau                              rre150h0         Bundesamt für Strassen                             7°22'/47°10'             594951/224050    430
MAR       Les Marécottes                       rre150h0         MeteoSchweiz                                       7°01'/46°07'             567375/107577    990
DLLEU     Leutkirch                            rre150h0         Deutscher Wetterdienst                             10°02'/47°48'            794315/297097    672
GLLIN     Linthal                              rre150h0         Gebäudeversicherung glarnerSach                    9°00'/46°55'             718932/198221    645
MMLIN     Linthal                              rre150h0         DTN Schweiz AG                                     9°00'/46°55'             719045/198018    663
ZEZGLB    Lissibachbrücke                      rre150h0         Bundesamt für Strassen                             8°32'/47°13'             683436/229369    500
ZELULI    Littau                               rre150h0         Kanton Luzern; zentras                             8°15'/47°03'             661816/210772    519
ZELULB    Littauerboden                        rre150h0         Kanton Luzern; zentras                             8°15'/47°03'             661458/211526    458
OTL       Locarno / Monti                      rre150h0         MeteoSchweiz                                       8°47'/46°10'             704166/114316    366
LOH       Lohn, SH                             rre150h0         MeteoSchweiz                                       8°41'/47°45'             692910/289775    585
TGLOM     Lommis                               rre150h0         Kanton Thurgau                                     8°60'/47°31'             717573/264875    469
LON       Longirod                             rre150h0         MeteoSchweiz                                       6°15'/46°30'             509387/150106    900
MMLOP     Lopagno                              rre150h0         DTN Schweiz AG                                     8°59'/46°04'             719000/103152    626
VDLUC     Lucens                               rre150h0         Canton de Vaud                                     6°51'/46°42'             554540/172830    495
LUG       Lugano                               rre150h0         MeteoSchweiz                                       8°58'/46°00'             717873/95884     273
ZEOWLU    Lungern                              rre150h0         Bundesamt für Strassen                             8°10'/46°48'             655172/183048    700
AGLUP     Lupfig                               rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°13'/47°27'             658389/255955    384
MMBIR     Lupfig / Flugplatz Birrfeld          rre150h0         DTN Schweiz AG                                     8°14'/47°27'             659672/255089    393
LUZ       Luzern                               rre150h0         MeteoSchweiz                                       8°18'/47°02'             665543/209849    454
WSLLAE    Lägern Turm                          rre150h0         Eidg. Forschungsanstalt WSL                        8°22'/47°29'             669777/259027    689
MAG       Magadino / Cadenazzo                 rre150h0         MeteoSchweiz                                       8°56'/46°10'             715479/113161    203
TIMAG     Maggia                               rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°42'/46°15'             697620/122190    327
MGL       Magglingen                           rre150h0         MeteoSchweiz                                       7°13'/47°08'             583037/221115    883
DLMAI     Maisach / Galgen                     rre150h0         Deutscher Wetterdienst                             11°12'/48°12'            879780/346381    530
DLMAL     Malsburg-Marzell                     rre150h0         Deutscher Wetterdienst                             7°43'/47°46'             621208/290643    700
LUMAL     Malters                              rre150h0         Kanton Luzern                                      8°11'/47°02'             656760/210150    496
DLMAN     Mannheim                             rre150h0         Deutscher Wetterdienst                             8°33'/49°31'             -/-              96
MAS       Marsens                              rre150h0         MeteoSchweiz                                       7°04'/46°39'             571758/167316    714
MMMAT     Marthalen                            rre150h0         DTN Schweiz AG                                     8°39'/47°37'             691307/275566    411
MAB       Martigny                             rre150h0         MeteoSchweiz                                       7°04'/46°07'             570920/106546    461
MAH       Mathod                               rre150h0         MeteoSchweiz                                       6°34'/46°44'             533458/176567    435
GLMAT     Matt                                 rre150h0         Gebäudeversicherung glarnerSach                    9°10'/46°57'             731907/202148    847
SOMAT     Matzendorf                           rre150h0         Kanton Solothurn                                   7°38'/47°18'             614150/239015    510
ZELUMK    Meierskappel                         rre150h0         Kanton Luzern; zentras                             8°25'/47°06'             674737/217873    627
MER       Meiringen                            rre150h0         MeteoSchweiz                                       8°10'/46°44'             655844/175930    588
MMMEL     Mels / Heiligkreuz                   rre150h0         DTN Schweiz AG                                     9°25'/47°04'             749713/214107    482
DLMEM     Memmingen                            rre150h0         Deutscher Wetterdienst                             10°08'/47°59'            801522/318112    615
TIMEN     Mendrisio                            rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°58'/45°53'             719210/83000     290
ZELUMB    Menzberg                             rre150h0         Kanton Luzern; zentras                             7°60'/47°03'             642483/211214    984
ZELUME    Menznau                              rre150h0         Kanton Luzern; zentras                             8°02'/47°05'             644904/215445    582
IYMER     Meran                                rre150h0         Autonome Provinz Bozen - Südtirol                  11°08'/46°41'            882785/177420    329

Paramètre
---------
          Unité                                Description
rre150h0  mm                                   précipitations, somme horaire

