Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
BOVSNE    Neuvilles                            rre150h0         Bundesamt für Strassen                             7°05'/46°06'             572634/105286    470
BOSONB    Niederbipp                           rre150h0         Bundesamt für Strassen                             7°42'/47°16'             620175/234350    460
ZHNIE     Niederglatt                          rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°29'/47°29'             678170/260580    410
GLNIT     Niederurnen / Morgenholz             rre150h0         Gebäudeversicherung glarnerSach                    9°01'/47°08'             720000/220594    983
TGNOL     Nollen                               rre150h0         Kanton Thurgau                                     9°07'/47°30'             726838/261520    733
DLNOT     Notzingen                            rre150h0         Deutscher Wetterdienst                             9°28'/48°40'             749120/393152    325
TINOV     Novaggio                             rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°51'/46°00'             709959/96156     625
WSLNOB    Novaggio Bestand                     rre150h0         Eidg. Forschungsanstalt WSL                        8°50'/46°01'             708090/97689     928
TGNUS     Nussbaumen                           rre150h0         Kanton Thurgau                                     8°50'/47°37'             704218/275708    480
CGI       Nyon / Changins                      rre150h0         MeteoSchweiz                                       6°14'/46°24'             506878/139572    458
MMNAF     Näfels                               rre150h0         DTN Schweiz AG                                     9°03'/47°05'             722943/215943    445
DLNUR     Nürburg / Barweiler                  rre150h0         Deutscher Wetterdienst                             6°52'/50°22'             -/-              485
ZHNUR     Nürensdorf                           rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°39'/47°27'             691180/256560    540
DLNUE     Nürnberg                             rre150h0         Deutscher Wetterdienst                             11°03'/49°30'            862116/489905    314
BOSGOB    Oberberg                             rre150h0         Bundesamt für Strassen                             9°17'/47°24'             739000/251999    680
DLOBH     Oberhaching                          rre150h0         Deutscher Wetterdienst                             11°33'/48°01'            906835/326131    604
ZELUOK    Oberkirch                            rre150h0         Kanton Luzern; zentras                             8°06'/47°10'             650497/223510    515
DLOBE     Oberreute                            rre150h0         Deutscher Wetterdienst                             9°56'/47°33'             788295/270011    896
OBR       Oberriet / Kriessern                 rre150h0         MeteoSchweiz                                       9°37'/47°23'             764170/249582    409
BOSGMO    Oberriet / Moos                      rre150h0         Kanton St. Gallen; Baudepartement                  9°33'/47°19'             759569/242155    427
DLOBS     Oberschleissheim                     rre150h0         Deutscher Wetterdienst                             11°33'/48°15'            905487/351798    484
DLOBD     Oberstdorf                           rre150h0         Deutscher Wetterdienst                             10°17'/47°24'            814149/253623    806
MMOBE     Oberthal                             rre150h0         DTN Schweiz AG                                     7°40'/46°55'             617980/196061    853
IYOBV     Obervintl                            rre150h0         Autonome Provinz Bozen - Südtirol                  11°45'/46°49'            929155/193494    747
KAOWL     Oberwil                              rre150h0         Kachelmannwetter GmbH                              7°33'/47°30'             608776/261692    300
ZHOWI     Oberwinterthur                       rre150h0         Bundesamt für Strassen                             8°47'/47°32'             700922/265371    486
ZHOER     Oerlingen                            rre150h0         Bundesamt für Strassen                             8°40'/47°38'             692803/276057    417
BOGLOF    Ofenegg                              rre150h0         Bundesamt für Strassen                             9°07'/47°08'             727224/220774    436
DLDWD     Offenbach                            rre150h0         Deutscher Wetterdienst                             8°47'/50°05'             -/-              118
DLOHL     Ohlsbach                             rre150h0         Deutscher Wetterdienst                             7°60'/48°26'             641017/364922    176
TIOLV     Olivone                              rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°57'/46°32'             715410/154120    930
OPF       Opfikon                              rre150h0         MeteoSchweiz                                       8°34'/47°26'             684614/254698    424
ZHOPF     Opfikon / Zürich Nord                rre150h0         Bundesamt für Strassen                             8°34'/47°25'             685533/253182    433
VDNOC     Orny / Nozon                         rre150h0         Canton de Vaud                                     6°32'/46°41'             531030/170390    440
ORO       Oron                                 rre150h0         MeteoSchweiz                                       6°51'/46°34'             555505/158052    828
ORS       Orsières                             rre150h0         MeteoSchweiz                                       7°09'/46°01'             577022/96695     929
WSLOTB    Othmarsingen Bestand                 rre150h0         Eidg. Forschungsanstalt WSL                        8°14'/47°24'             659515/250058    474
WSLOTF    Othmarsingen Freiland                rre150h0         Eidg. Forschungsanstalt WSL                        8°13'/47°24'             659217/250228    461
TGOTT     Ottenberg                            rre150h0         Kanton Thurgau                                     9°08'/47°35'             727270/271500    665
DLOTT     Ottobeuren                           rre150h0         Deutscher Wetterdienst                             10°19'/47°56'            814552/312801    667
