Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
BOURTB    Taubach                              rre150h0         Bundesamt für Strassen                             8°39'/46°49'             691900/185850    472
BOSOTB    Teufelsbrücke                        rre150h0         Bundesamt für Strassen                             7°50'/47°20'             629660/243130    567
ZHTWL     Thalwil                              rre150h0         Bundesamt für Strassen                             8°33'/47°18'             683993/239044    508
BOSHKE    Thayngen / Kesslerloch               rre150h0         Bundesamt für Strassen                             8°42'/47°45'             694375/289003    443
BONETH    Thielle                              rre150h0         Bundesamt für Strassen                             7°02'/47°01'             569081/207860    434
DLTHO     Tholey                               rre150h0         Deutscher Wetterdienst                             7°02'/49°28'             -/-              385
THU       Thun                                 rre150h0         MeteoSchweiz                                       7°35'/46°45'             611200/177640    570
BOTGTB    Thurbrücke, Frauenfeld               rre150h0         Bundesamt für Strassen                             8°59'/47°35'             716805/272039    404
THS       Thusis                               rre150h0         MeteoSchweiz                                       9°27'/46°43'             753155/175089    672
MMPRV     Thusis                               rre150h0         DTN Schweiz AG                                     9°26'/46°43'             752982/175241    676
BOGRCA    Thusis / Calabriabrücke              rre150h0         Bundesamt für Strassen                             9°30'/46°41'             758180/172613    859
GLTFD     Tierfehd                             rre150h0         Gebäudeversicherung glarnerSach                    8°59'/46°53'             717756/193171    804
MMTIT     Titterten                            rre150h0         DTN Schweiz AG                                     7°43'/47°24'             620855/250262    669
DLTOM     Todtmoos                             rre150h0         Deutscher Wetterdienst                             7°60'/47°44'             642027/286518    781
ZELUTB    Triechterbrücke                      rre150h0         Bundesamt für Strassen                             8°08'/47°10'             652325/225021    510
ZELUTR    Triengen                             rre150h0         Kanton Luzern; zentras                             8°04'/47°15'             647678/233270    493
MMTRG     Triengen                             rre150h0         DTN Schweiz AG                                     8°05'/47°14'             648430/230884    485
DLTRI     Trier                                rre150h0         Deutscher Wetterdienst                             6°39'/49°45'             -/-              265
TRU       Trun                                 rre150h0         MeteoSchweiz                                       9°01'/46°45'             719985/178224    834
ZELUTG    Truttigen                            rre150h0         Bundesamt für Strassen                             8°13'/47°08'             659320/219681    557
BOSGTB    Trübbach                             rre150h0         Bundesamt für Strassen                             9°28'/47°04'             754340/214700    481
ZHTUR     Turbenthal                           rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°52'/47°26'             707340/254670    570
AGTGI     Turgi                                rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°16'/47°29'             662517/259908    348
ZELUUF    Ufhusen                              rre150h0         Kanton Luzern; zentras                             7°53'/47°08'             633452/219521    621
WSLUIB    Uitikon Bestand                      rre150h0         Eidg. Forschungsanstalt WSL                        8°27'/47°22'             676731/246286    543
DLUMM     Ulm /Mähringen                       rre150h0         Deutscher Wetterdienst                             9°55'/48°27'             -/-              592
ZELUUM    Umfahrung Malters                    rre150h0         Kanton Luzern; zentras                             8°07'/47°03'             651827/210776    532
UNK       Unterkulm                            rre150h0         MeteoSchweiz                                       8°07'/47°19'             650838/241212    454
MMUNS     Unterschächen                        rre150h0         DTN Schweiz AG                                     8°46'/46°52'             701431/191053    997
TGUSH     Unterstammheim                       rre150h0         Kanton Thurgau                                     8°47'/47°38'             700523/277305    422
URN       Urnäsch                              rre150h0         MeteoSchweiz                                       9°17'/47°19'             739206/241761    825
UST       Uster                                rre150h0         MeteoSchweiz                                       8°42'/47°21'             694760/245190    438
ZHUST     Uster / Aatal Höhe                   rre150h0         Bundesamt für Strassen                             8°45'/47°21'             698612/244769    490
BOFRVG    V. Gruyère VDA/S                     rre150h0         Bundesamt für Strassen                             7°06'/46°41'             573565/171204    740
VAD       Vaduz                                rre150h0         MeteoSchweiz                                       9°31'/47°08'             757722/221699    457
VDVAL     Valeyres-sous-Montagny               rre150h0         Canton de Vaud                                     6°37'/46°48'             537240/183740    500
VDVAU     Vaulion                              rre150h0         Canton de Vaud                                     6°25'/46°42'             522290/172180    885
GEARE     Vernier / Aïre                       rre150h0         République et canton de Genève                     6°05'/46°12'             495941/117137    379
BOGEVE    Versoix                              rre150h0         Bundesamt für Strassen                             6°09'/46°17'             500186/126346    420
VEV       Vevey / Corseaux                     rre150h0         MeteoSchweiz                                       6°49'/46°28'             552106/146847    405
BOJUVC    Viaduc des neufs Champs              rre150h0         Bundesamt für Strassen                             7°16'/47°21'             587389/243751    496
VDGLA     Villars-le-Grand / Petite-Glâne      rre150h0         Canton de Vaud                                     6°60'/46°54'             566480/194435    433
VIT       Villars-Tiercelin                    rre150h0         MeteoSchweiz                                       6°43'/46°37'             544198/163650    859
VDPPI     Villeneuve, Le Pissot                rre150h0         Canton de Vaud                                     6°57'/46°24'             561790/138170    500
BEVIL     Villeret                             rre150h0         Kanton Bern                                        7°02'/47°10'             569451/223729    724
DLVIS     Villingen-Schwenningen               rre150h0         Deutscher Wetterdienst                             8°28'/48°03'             676223/322146    720
BOSGVS    Viscosuisse                          rre150h0         Bundesamt für Strassen                             9°39'/47°25'             766700/253749    409
VIS       Visp                                 rre150h0         MeteoSchweiz                                       7°51'/46°18'             631150/128024    639
WSLVSB    Visp Bestand                         rre150h0         Eidg. Forschungsanstalt WSL                        7°51'/46°18'             632260/127364    698
ZELUVI    Vitznau                              rre150h0         Kanton Luzern; zentras                             8°29'/47°00'             679542/206692    444
WSLVOB    Vordemwald Bestand                   rre150h0         Eidg. Forschungsanstalt WSL                        7°53'/47°16'             633932/235983    482
WSLVOF    Vordemwald Freiland                  rre150h0         Eidg. Forschungsanstalt WSL                        7°55'/47°16'             635732/235431    486
VAE       Vättis                               rre150h0         MeteoSchweiz                                       9°27'/46°55'             752732/197282    939
IYVOL     Völs am Schlern                      rre150h0         Autonome Provinz Bozen - Südtirol                  11°30'/46°31'            912015/159435    835
DLWAI     Waibstadt                            rre150h0         Deutscher Wetterdienst                             8°54'/49°18'             -/-              236
ZHWD2     Wald / Brüglen                       rre150h0         Kanton Zürich; Tiefbauamt                          8°55'/47°17'             711690/237864    647
ZHHIT     Wald / Hittenberg                    rre150h0         Kanton Zürich; Tiefbauamt                          8°56'/47°17'             713218/237375    873
WAG       Waldegg                              rre150h0         MeteoSchweiz                                       8°27'/47°22'             676761/246211    545
DLWAL     Waldmünchen                          rre150h0         Deutscher Wetterdienst                             12°41'/49°23'            -/-              498
ZHWLS     Wallisellen / Neugut                 rre150h0         Bundesamt für Strassen                             8°36'/47°24'             687576/251245    437
DLWAN     Wangen im Allgäu                     rre150h0         Deutscher Wetterdienst                             9°52'/47°43'             782147/287150    666
ZHWAN     Wangen, SZ                           rre150h0         Bundesamt für Strassen                             8°54'/47°12'             710427/227937    420
WAR       Wartau                               rre150h0         MeteoSchweiz                                       9°30'/47°06'             756872/218250    468
MMWAA     Wasserauen                           rre150h0         DTN Schweiz AG                                     9°26'/47°17'             750511/239186    868
WEE       Weesen                               rre150h0         MeteoSchweiz                                       9°05'/47°08'             724983/221383    425
ZELUWE    Weggis                               rre150h0         Kanton Luzern; zentras                             8°25'/47°03'             674923/210861    506
ZHWEA     Weiach                               rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°27'/47°34'             676110/268980    360
DLWED     Weiden                               rre150h0         Deutscher Wetterdienst                             12°11'/49°40'            -/-              439
BOBLWH    Weierhaus                            rre150h0         Bundesamt für Strassen                             7°46'/47°30'             624700/260700    399
DLWES     Weihenstephan / Dürnast              rre150h0         Deutscher Wetterdienst                             11°42'/48°24'            -/-              477
TGWEI     Weinfelden                           rre150h0         Kanton Thurgau                                     9°05'/47°34'             723890/269553    423
DLWEI     Weingarten                           rre150h0         Deutscher Wetterdienst                             9°37'/47°48'             763437/297358    440
ZHWEI     Weiningen / Limmatthaler-Kreuz       rre150h0         Bundesamt für Strassen                             8°26'/47°25'             674843/251648    407
DLWEG     Weissenburg                          rre150h0         Deutscher Wetterdienst                             10°56'/49°01'            -/-              439
DLWEW     Weisweil                             rre150h0         Deutscher Wetterdienst                             7°42'/48°11'             619273/337595    173
SGWID     Widnau                               rre150h0         Kanton St. Gallen                                  9°38'/47°24'             765199/252914    406
DLWIE     Wielenbach                           rre150h0         Deutscher Wetterdienst                             11°09'/47°53'            878090/310175    550
ZELUWI    Wiggen                               rre150h0         Kanton Luzern; zentras                             7°55'/46°53'             636014/193238    796
TGWIG     Wigoltingen                          rre150h0         Kanton Thurgau                                     9°02'/47°36'             719427/273034    420
ZELUWK    Wikon                                rre150h0         Kanton Luzern; zentras                             7°58'/47°16'             639947/234508    454
BOSGWI    Wil                                  rre150h0         Bundesamt für Strassen                             9°02'/47°27'             720000/256000    520
SGWIL     Wil                                  rre150h0         Kanton St. Gallen                                  9°03'/47°27'             722055/256733    535
LUWIL     Willisau                             rre150h0         Kanton Luzern                                      8°00'/47°08'             642650/220780    541
AGWDS     Windisch                             rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°14'/47°29'             659899/260036    332
ZHWIN     Winterthur                           rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°44'/47°30'             697735/261315    455
WIN       Winterthur / Seen                    rre150h0         MeteoSchweiz                                       8°46'/47°28'             699845/259054    506
ZHWLF     Winterthur / Wülfingen               rre150h0         Bundesamt für Strassen                             8°41'/47°30'             694097/262253    432
WIT       Wittnau                              rre150h0         MeteoSchweiz                                       7°58'/47°29'             639941/258983    463
AGWOH     Wohlen                               rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°15'/47°22'             661500/246800    408
DLWOL     Wolfach                              rre150h0         Deutscher Wetterdienst                             8°14'/48°18'             659410/349754    291
LUWOL     Wolhusen                             rre150h0         Kanton Luzern                                      8°04'/47°04'             648090/212490    611
ZHFRB     Wollerau / Fuchsberg                 rre150h0         Bundesamt für Strassen                             8°45'/47°12'             699286/228007    505
DLWUN     Wunsiedel                            rre150h0         Deutscher Wetterdienst                             11°58'/50°02'            -/-              622
DLWOF     Wutöschingen-Ofteringen              rre150h0         Deutscher Wetterdienst                             8°23'/47°41'             670681/281244    398
WYN       Wynau                                rre150h0         MeteoSchweiz                                       7°47'/47°15'             626404/233848    421
WAE       Wädenswil                            rre150h0         MeteoSchweiz                                       8°41'/47°13'             693847/230744    485
ZHWAE     Wädenswil / Herrlisberg              rre150h0         Bundesamt für Strassen                             8°39'/47°13'             692336/230860    585
BOFRWU    Wünnewil                             rre150h0         Bundesamt für Strassen                             7°16'/46°53'             587023/191578    640
PSI       Würenlingen / PSI                    rre150h0         MeteoSchweiz                                       8°14'/47°32'             659355/265380    334
DLWUR     Würzburg                             rre150h0         Deutscher Wetterdienst                             9°57'/49°46'             -/-              268
ZHZEL     Zell / Rämismühle                    rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°49'/47°27'             703795/255605    524
ZELUZI    Zinggen                              rre150h0         Kanton Luzern; zentras                             8°02'/46°58'             645418/202081    697
ZEOWZT    Zmatt                                rre150h0         Bundesamt für Strassen                             8°18'/46°58'             665471/202208    438
AGZOF     Zofingen                             rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 7°57'/47°17'             638608/237315    444
ZGZUG     Zug                                  rre150h0         Gewässerschutzverband der Region Zugersee-Küssnachtersee-Ägerisee 8°30'/47°10'             681015/225340    418
MMZWE     Zweisimmen                           rre150h0         DTN Schweiz AG                                     7°23'/46°33'             595686/155358    933
DLZWI     Zwiesel                              rre150h0         Deutscher Wetterdienst                             13°14'/49°02'            -/-              615
ZWK       Zwillikon                            rre150h0         MeteoSchweiz                                       8°26'/47°17'             675138/238165    461
REH       Zürich / Affoltern                   rre150h0         MeteoSchweiz                                       8°31'/47°26'             681432/253548    443
SMA       Zürich / Fluntern                    rre150h0         MeteoSchweiz                                       8°34'/47°23'             685116/248065    555
NABZUE    Zürich / Kaserne                     rre150h0         Bundesamt für Umwelt                               8°32'/47°23'             682450/247990    408
KLO       Zürich / Kloten                      rre150h0         MeteoSchweiz                                       8°32'/47°29'             682710/259338    426
ZHZSE     Zürich / Seebach                     rre150h0         Bundesamt für Strassen                             8°32'/47°26'             682538/254250    465
ZHZOE     Zürich Schwamendingen / HKW Aubrugg  rre150h0         Bundesamt für Strassen                             8°34'/47°25'             685699/251856    436
ZHZHB     Zürich Wollishofen / Höcklerbrücke   rre150h0         Bundesamt für Strassen                             8°31'/47°21'             681711/244541    430
ZHZBR     Zürich Wollishofen / Sihlhochstrasse rre150h0         Bundesamt für Strassen                             8°31'/47°21'             682058/245256    429
DLOHR     Öhringen                             rre150h0         Deutscher Wetterdienst                             9°31'/49°12'             -/-              275

Paramètre
---------
          Unité                                Description
rre150h0  mm                                   précipitations, somme horaire

